iter	RMSE
0	106.8089604
1	106.631778
2	106.443983
3	106.2521456
4	106.1160363
5	105.9371274
6	105.7508633
7	105.5473228
8	105.4262985
9	105.2604761
10	105.1029617
11	104.9483996
12	104.7878226
13	104.6231384
14	104.4875129
15	104.3628427
16	104.1866092
17	104.0438172
18	103.9249746
19	103.8124104
20	103.6891162
21	103.5990408
22	103.4831703
23	103.3579205
24	103.2393977
25	103.2272357
26	103.1198096
27	103.0228574
28	103.0100364
29	102.9349701
30	102.8401542
31	102.8245241
32	102.6655627
33	102.5564001
34	102.5347791
35	102.4257811
36	102.3870918
37	102.2979741
38	102.224903
39	102.1054663
40	101.9820706
41	101.9722754
42	101.8790602
43	101.7807321
44	101.7255079
45	101.6837056
46	101.5808193
47	101.5777245
48	101.5037609
49	101.4350549
50	101.2666504
51	101.2535187
52	101.2369553
53	101.2279782
54	101.0671146
55	100.9455236
56	100.8762601
57	100.8613365
58	100.7599743
59	100.6488517
60	100.6349663
61	100.6251883
62	100.6116778
63	100.5898624
64	100.4840658
65	100.3680666
66	100.3351621
67	100.2938125
68	100.2782873
69	100.2145846
70	100.193743
71	100.1873799
72	100.1740254
73	100.1496897
74	100.1415759
75	100.0873594
76	100.0325557
77	100.0191166
78	100.0012165
79	99.88028732
80	99.86588809
81	99.77982363
82	99.6636801
83	99.65033159
84	99.63366999
85	99.62087076
86	99.61006379
87	99.58791791
88	99.51381522
89	99.41872471
90	99.3504544
91	99.25822358
92	99.19137606
93	99.11547324
94	99.10440338
95	99.090837
96	99.07662196
97	99.03022953
98	98.95039975
99	98.9347427
100	98.91817179
101	98.90768056
102	98.90055802
103	98.81843091
104	98.8083334
105	98.79923731
106	98.79221581
107	98.7855323
108	98.7089098
109	98.67930048
110	98.61349684
111	98.6075566
112	98.5934697
113	98.57644591
114	98.56487677
115	98.55267734
116	98.53306092
117	98.44674095
118	98.36114981
119	98.35341099
120	98.29427871
121	98.21529935
122	98.15787903
123	98.05129414
124	98.01341885
125	97.96251683
126	97.94534121
127	97.92588654
128	97.81084208
129	97.80337077
130	97.75568628
131	97.72436792
132	97.71735177
133	97.69135973
134	97.67043735
135	97.64375068
136	97.58484387
137	97.53481361
138	97.4668011
139	97.46149059
140	97.40772242
141	97.39355904
142	97.37908331
143	97.29270226
144	97.28675127
145	97.21276697
146	97.18271958
147	97.03634123
148	96.95226089
149	96.93973685
150	96.92991113
151	96.92038986
152	96.90581534
153	96.87258551
154	96.86681371
155	96.85457164
156	96.84163049
157	96.82208648
158	96.80545934
159	96.78673374
160	96.77519513
161	96.75223805
162	96.73061022
163	96.70776697
164	96.68882116
165	96.6451133
166	96.62216715
167	96.53259012
168	96.52535117
169	96.51262055
170	96.50039521
171	96.46943287
172	96.46384207
173	96.45379009
174	96.43989966
175	96.43028378
176	96.41898132
177	96.40318702
178	96.39292416
179	96.36869891
180	96.32662306
181	96.30735962
182	96.29508629
183	96.28112719
184	96.2689529
185	96.2589288
186	96.24769148
187	96.19729537
188	96.09347938
189	96.06414011
190	96.04519529
191	95.99383067
192	95.98437194
193	95.9006175
194	95.85753025
195	95.80927928
196	95.79533325
197	95.78210607
198	95.7754434
199	95.75183011
200	95.73834516
201	95.72953256
202	95.72374394
203	95.69301726
204	95.67967024
205	95.66841344
206	95.65110439
207	95.64385372
208	95.63478153
209	95.62220814
210	95.60946137
211	95.6012556
212	95.58689851
213	95.58045318
214	95.56948584
215	95.55261358
216	95.46246648
217	95.45381455
218	95.44792143
219	95.37935394
220	95.36866514
221	95.36153688
222	95.35285496
223	95.33701181
224	95.27176793
225	95.2651923
226	95.2560612
227	95.24614324
228	95.23714861
229	95.21490766
230	95.20742488
231	95.19531167
232	95.18265822
233	95.17218385
234	95.15815525
235	95.14402031
236	95.13264252
237	95.06831735
238	95.06072257
239	95.05642451
240	95.04039176
241	95.02677643
242	95.01149244
243	94.99684264
244	94.98047718
245	94.96657487
246	94.95615275
247	94.9370969
248	94.91777757
249	94.90955875
250	94.89718703
251	94.87828381
252	94.86602108
253	94.8541152
254	94.84875246
255	94.83675957
256	94.81373557
257	94.79842374
258	94.79030519
259	94.77952496
260	94.76765372
261	94.75761915
262	94.74035617
263	94.73035488
264	94.71668428
265	94.69856021
266	94.68679536
267	94.6747346
268	94.65598901
269	94.63522895
270	94.62445588
271	94.6197449
272	94.60691684
273	94.5913085
274	94.57832303
275	94.56848479
276	94.55947304
277	94.50300929
278	94.49118352
279	94.47857518
280	94.46388292
281	94.44227182
282	94.42657941
283	94.40839551
284	94.39010852
285	94.36728675
286	94.34786455
287	94.32894028
288	94.31886153
289	94.29083198
290	94.26901873
291	94.25666147
292	94.22032818
293	94.20353534
294	94.18502903
295	94.14227382
296	94.05776896
297	94.02361714
298	94.00357084
299	93.97651497
300	93.96160009
301	93.93494123
302	93.92086926
303	93.9057567
304	93.88044671
305	93.860702
306	93.8406376
307	93.82085702
308	93.79628375
309	93.77890835
310	93.75692162
311	93.7358495
312	93.7106756
313	93.69557286
314	93.67138265
315	93.65005159
316	93.62036236
317	93.58616578
318	93.57235902
319	93.53202386
320	93.50706191
321	93.47963779
322	93.46028707
323	93.44073039
324	93.42032788
325	93.31127531
326	93.28951523
327	93.23911304
