iter	Passed	Remaining
0	95	176002
1	208	192852
2	257	158337
3	357	165042
4	401	148210
5	500	153766
6	593	156326
7	680	156778
8	698	142915
9	790	145450
10	882	147701
11	973	149218
12	1059	149747
13	1149	150770
14	1252	153260
15	1342	153990
16	1431	154442
17	1519	154781
18	1610	155242
19	1699	155615
20	1790	155994
21	1880	156357
22	1942	154384
23	2033	154796
24	2123	155089
25	2142	150388
26	2237	151181
27	2326	151474
28	2389	150125
29	2480	150562
30	2569	150841
31	2656	151008
32	2745	151265
33	2835	151517
34	2844	147570
35	2931	147810
36	3020	148063
37	3108	148325
38	3195	148453
39	3287	148836
40	3376	149060
41	3395	146245
42	3484	146523
43	3572	146708
44	3664	147057
45	3687	144709
46	3776	144957
47	3790	142379
48	3879	142677
49	3970	143001
50	4057	143213
51	4147	143495
52	4176	141691
53	4191	139487
54	4281	139801
55	4371	140116
56	4477	140935
57	4568	141228
58	4658	141498
59	4750	141800
60	4840	142028
61	4928	142199
62	5015	142358
63	5105	142562
64	5194	142731
65	5286	142976
66	5323	141735
67	5345	140161
68	5435	140380
69	5526	140612
70	5614	140758
71	5624	138971
72	5652	137680
73	5675	136298
74	5725	135576
75	5814	135794
76	5903	136020
77	5949	135236
78	5972	133960
79	6061	134177
80	6150	134407
81	6241	134645
82	6329	134822
83	6358	133761
84	6445	133905
85	6493	133277
86	6540	132615
87	6631	132856
88	6722	133099
89	6810	133265
90	6900	133456
91	6989	133636
92	7079	133829
93	7168	133983
94	7195	132996
95	7282	133125
96	7373	133323
97	7462	133496
98	7551	133634
99	7641	133809
100	7728	133909
101	7753	132950
102	7844	133127
103	7934	133292
104	7957	132324
105	7987	131488
106	8073	131597
107	8084	130477
108	8174	130641
109	8222	130138
110	8308	130244
111	8398	130397
112	8488	130560
113	8536	130064
114	8629	130263
115	8720	130427
116	8807	130532
117	8896	130662
118	8986	130795
119	9079	130978
120	9171	131128
121	9257	131192
122	9348	131328
123	9440	131487
124	9527	131561
125	9618	131685
126	9705	131754
127	9793	131830
128	9889	132010
129	9979	132109
130	10026	131644
131	10115	131733
132	10129	130839
133	10217	130917
134	10310	131057
135	10373	130808
136	10459	130853
137	10550	130965
138	10641	131062
139	10677	130495
140	10769	130610
141	10857	130674
142	10947	130759
143	11037	130834
144	11125	130899
145	11215	130976
146	11305	131048
147	11395	131129
148	11486	131212
149	11576	131276
150	11664	131321
151	11751	131354
152	11842	131427
153	11903	131173
154	11940	130656
155	12028	130690
156	12115	130721
157	12139	130073
158	12227	130113
159	12317	130183
160	12405	130215
161	12493	130259
162	12587	130350
163	12676	130398
164	12764	130433
165	12853	130472
166	12944	130530
167	13033	130570
168	13078	130163
169	13125	129790
170	13213	129820
171	13304	129878
172	13341	129404
173	13386	129019
174	13474	129051
175	13563	129082
176	13597	128597
177	13686	128637
178	13773	128652
179	13790	128024
180	13882	128091
181	13895	127425
182	13987	127493
183	14073	127502
184	14164	127558
185	14252	127578
186	14266	126944
187	14357	127000
188	14445	127026
189	14536	127082
190	14624	127104
191	14710	127109
192	14801	127152
193	14891	127194
194	14983	127243
195	15072	127267
196	15132	127049
197	15222	127087
198	15237	126491
199	15324	126507
200	15410	126502
201	15500	126534
202	15514	125947
203	15604	125983
204	15704	126094
205	15793	126117
206	15880	126121
207	15894	125553
208	15985	125585
209	15998	125018
210	16086	125029
211	16105	124511
212	16193	124531
213	16278	124525
214	16316	124153
215	16338	123673
216	16431	123729
217	16449	123221
218	16476	122785
219	16564	122806
220	16658	122863
221	16752	122928
222	16766	122404
223	16859	122456
224	16947	122471
225	17037	122505
226	17127	122534
227	17215	122547
228	17262	122268
229	17348	122266
230	17375	121857
231	17464	121874
232	17554	121904
233	17572	121433
234	17664	121470
235	17753	121492
236	17789	121150
237	17881	121185
238	17904	120758
239	17913	120245
240	18001	120259
241	18093	120297
242	18186	120342
243	18275	120363
244	18365	120387
245	18455	120412
246	18546	120442
247	18636	120460
248	18725	120476
249	18815	120494
250	18862	120240
251	18951	120254
252	19041	120268
253	19059	119832
254	19077	119400
255	19166	119418
256	19254	119422
257	19342	119428
258	19372	119080
259	19465	119114
260	19549	119096
261	19589	118806
262	19679	118825
263	19724	118571
264	19787	118429
265	19883	118477
266	19975	118505
267	20064	118516
268	20158	118552
269	20251	118581
270	20339	118586
271	20358	118182
272	20404	117939
273	20494	117956
274	20587	117983
275	20624	117691
276	20664	117420
277	20754	117437
278	20818	117297
279	20915	117353
280	21006	117365
281	21103	117415
282	21168	117284
283	21262	117316
284	21352	117325
285	21444	117342
286	21538	117373
287	21629	117385
288	21658	117063
289	21752	117086
290	21847	117122
291	21937	117125
292	22029	117139
293	22065	116857
294	22160	116889
295	22251	116893
296	22346	116926
297	22437	116930
298	22502	116800
299	22657	117140
300	22749	117150
301	22840	117151
302	22944	117222
303	23049	117296
304	23141	117302
305	23238	117329
306	23331	117343
307	23425	117354
308	23517	117357
309	23610	117365
310	23702	117368
311	23793	117364
312	23886	117371
313	23983	117396
314	24088	117458
315	24178	117451
316	24268	117440
317	24360	117435
318	24454	117441
319	24549	117453
320	24640	117446
321	24732	117440
322	24825	117441
323	24923	117465
324	25022	117488
325	25118	117501
326	25210	117496
327	25301	117481
328	25394	117478
329	25485	117466
330	25576	117451
331	25670	117448
332	25766	117458
333	25861	117459
334	25955	117458
335	26049	117456
336	26146	117466
337	26238	117452
338	26331	117441
339	26420	117417
340	26512	117402
341	26606	117396
342	26696	117372
343	26787	117353
344	26877	117325
345	26970	117313
346	27063	117301
347	27157	117291
348	27248	117269
349	27340	117253
350	27433	117237
351	27527	117226
352	27620	117209
353	27710	117180
354	27802	117161
355	27890	117122
356	27983	117106
357	28074	117080
358	28165	117057
359	28257	117034
360	28348	117006
361	28440	116983
362	28532	116958
363	28625	116939
364	28717	116914
365	28813	116905
366	28902	116868
367	28997	116854
368	29083	116808
369	29181	116803
370	29273	116779
371	29366	116756
372	29460	116737
373	29553	116712
374	29644	116682
375	29734	116645
376	29827	116618
377	29916	116580
378	30012	116565
379	30106	116543
380	30200	116522
381	30293	116495
382	30384	116460
383	30474	116421
384	30569	116402
385	30663	116379
386	30752	116336
387	30845	116306
388	30937	116274
389	31029	116240
390	31121	116206
391	31211	116168
392	31301	116124
393	31394	116095
394	31487	116065
395	31584	116047
396	31675	116012
397	31765	115967
398	31857	115933
399	31951	115903
400	32049	115888
401	32142	115855
402	32235	115824
403	32339	115830
404	32436	115810
405	32529	115776
406	32619	115729
407	32712	115697
408	32804	115659
409	32894	115613
410	32987	115575
411	33079	115538
412	33174	115507
413	33265	115463
414	33370	115469
415	33460	115423
416	33552	115380
417	33649	115358
418	33742	115319
419	33835	115283
420	33927	115239
421	34017	115192
422	34111	115157
423	34204	115118
424	34299	115086
425	34393	115048
426	34484	115002
427	34578	114965
428	34668	114916
429	34762	114877
430	34851	114825
431	34947	114791
432	35044	114764
433	35139	114731
434	35230	114681
435	35318	114624
436	35413	114586
437	35505	114540
438	35600	114504
439	35691	114456
440	35784	114411
441	35875	114361
442	35967	114316
443	36061	114275
444	36153	114227
445	36246	114183
446	36338	114136
447	36433	114097
448	36524	114046
449	36615	113997
450	36712	113964
451	36804	113916
452	36895	113863
453	36986	113811
454	37081	113771
455	37179	113740
456	37267	113678
457	37359	113627
458	37451	113578
459	37545	113533
460	37637	113483
461	37728	113429
462	37821	113381
463	37920	113351
464	38013	113303
465	38104	113250
466	38196	113197
467	38288	113147
468	38378	113090
469	38475	113053
470	38568	113003
471	38663	112960
472	38756	112909
473	38852	112868
474	38942	112811
475	39036	112764
476	39133	112724
477	39225	112669
478	39318	112619
479	39410	112565
480	39503	112516
481	39597	112467
482	39689	112413
483	39785	112368
484	39881	112324
485	39972	112268
486	40063	112211
487	40156	112158
488	40246	112098
489	40339	112044
490	40433	111993
491	40522	111931
492	40620	111891
493	40712	111836
494	40804	111779
495	40895	111720
496	40989	111670
497	41078	111604
498	41170	111547
499	41265	111499
500	41360	111450
501	41451	111390
502	41543	111334
503	41653	111324
504	41746	111269
505	41841	111218
506	41935	111167
507	42033	111124
508	42124	111062
509	42217	111006
510	42314	110962
511	42406	110903
512	42499	110846
513	42592	110791
514	42698	110767
515	42789	110706
516	42882	110649
517	42973	110586
518	43070	110538
519	43165	110488
520	43258	110429
521	43349	110367
522	43440	110304
523	43535	110251
524	43629	110195
525	43718	110127
526	43811	110068
527	43906	110015
528	43999	109956
529	44097	109910
530	44190	109851
531	44287	109803
532	44380	109743
533	44472	109682
534	44569	109631
535	44666	109582
536	44760	109524
537	44855	109470
538	44946	109406
539	45038	109343
540	45131	109283
541	45220	109212
542	45312	109151
543	45403	109084
544	45496	109024
545	45590	108966
546	45679	108896
547	45771	108831
548	45863	108770
549	45952	108698
550	46044	108636
551	46137	108572
552	46226	108501
553	46315	108432
554	46407	108367
555	46500	108304
556	46590	108237
557	46687	108184
558	46780	108122
559	46871	108056
560	46966	107997
561	47059	107935
562	47149	107866
563	47239	107797
564	47331	107731
565	47421	107661
566	47519	107609
567	47612	107547
568	47702	107476
569	47792	107406
570	47881	107334
571	47969	107259
572	48064	107200
573	48154	107131
574	48250	107073
575	48342	107008
576	48436	106946
577	48529	106881
578	48621	106815
579	48712	106746
580	48803	106678
581	48897	106616
582	48989	106550
583	49081	106483
584	49170	106410
585	49261	106341
586	49351	106268
587	49443	106202
588	49533	106130
589	49626	106065
590	49719	106001
591	49813	105938
592	49903	105866
593	49995	105798
594	50089	105735
595	50184	105674
596	50274	105602
597	50370	105541
598	50465	105480
599	50554	105406
600	50646	105337
601	50738	105268
602	50829	105199
603	50935	105160
604	51027	105091
605	51116	105017
606	51204	104940
607	51294	104866
608	51385	104795
609	51478	104728
610	51567	104653
611	51662	104591
612	51752	104518
613	51846	104453
614	51947	104401
615	52037	104328
616	52132	104265
617	52227	104202
618	52318	104129
619	52410	104060
620	52505	103995
621	52599	103929
622	52690	103859
623	52787	103799
624	52882	103734
625	52972	103660
626	53063	103588
627	53156	103519
628	53250	103453
629	53342	103382
630	53432	103308
631	53526	103241
632	53616	103167
633	53712	103104
634	53805	103034
635	53897	102963
636	53990	102895
637	54083	102827
638	54177	102758
639	54267	102684
640	54360	102614
641	54451	102542
642	54547	102478
643	54645	102417
644	54734	102340
