title,money,knoladge,company,addition,city,link
Продавец-консультант остров часовых изделий ТЦ Алмаз Челябинск,По договорённости,,AllTime,['Опыт не нужен'],Челябинск,https://russia.superjob.ru/vacancy/search/?page=1/vakansii/prodavec-konsultant-ostrov-chasovyh-izdelij-tc-almaz-chelyabinsk-51067395.html
Охранник,351.0,,ГК БРУ,"['Опыт не нужен', 'Сменный график']",Тамбов,https://russia.superjob.ru/vacancy/search/?page=1/vakansii/ohrannik-50923717.html
Техник отдела испытаний,55.0,,Московский завод ФИЗПРИБОР,['Полная занятость'],Подольск,https://russia.superjob.ru/vacancy/search/?page=1/vakansii/tehnik-otdela-ispytanij-48616001.html
Фармацевт / провизор (м. Отрадное),115.0,,Ригла7.6,"['Опыт не нужен', 'Сменный график']","Москва, Каргопольская улица, 11к1",https://russia.superjob.ru/vacancy/search/?page=1/vakansii/farmacevt-51142191.html
Монтер пути 3 разряда,130.25,,"СПб ГУП ""Горэлектротранс""6.9","['Отклик без резюме', 'Опыт не нужен', 'Полная занятость']",Санкт-Петербург,https://russia.superjob.ru/vacancy/search/?page=1/vakansii/monter-puti-3-razryada-44290571.html
"Администратор магазина (Грязи, Крылова, 9)",62.0,,ПятёрочкаПроверенный работодатель6.5,['Полная занятость'],Грязи,https://russia.superjob.ru/vacancy/search/?page=1/vakansii/administrator-magazina-48358813.html
Производитель работ (прораб),135.0,,ГСП-Механизация,['Вахта'],Кострома,https://russia.superjob.ru/vacancy/search/?page=1/vakansii/proizvoditel-rabot-50127472.html
Слесарь по ремонту агрегатов,160.0,,"""ССК ""Газрегион""Проверенный работодатель7.9",['Вахта'],Красноярск,https://russia.superjob.ru/vacancy/search/?page=1/vakansii/slesar-po-remontu-agregatov-50148477.html
Медицинская сестра палатная/ Медицинский брат палатный (детское отделение) 2/2,110.0,,"ФГБУ ""Национальный медицинский исследовательский центр травматологии и ортопедии им. Н. Н. Приорова"" Минздрава России8.4",['Сменный график'],"Москва, улица Приорова, 10",https://russia.superjob.ru/vacancy/search/?page=1/vakansii/medicinskaya-sestra-palatnaya-50642712.html
Курьер,120.5,ANDROID IOS,Центр найма персонала Яндекс,"['Опыт не нужен', 'Доступно для соискателей от 14+ лет', 'Доступно для соискателей от 45+ лет']","Москва, Марьино – Саларьево",https://russia.superjob.ru/vacancy/search/?page=1/vakansii/kurer-50676290.html
Продавец-консультант,53.0,BEAUTY BEAUTY,РИВ ГОШПроверенный работодатель7.7,"['Опыт не нужен', 'Сменный график']",Воронеж,https://russia.superjob.ru/vacancy/search/?page=1/vakansii/prodavec-konsultant-50683367.html
Автомеханик (м. Старая Деревня),140.0,,ГК РОЛЬФ7.8,,Санкт-Петербург,https://russia.superjob.ru/vacancy/search/?page=1/vakansii/avtomehanik-51056971.html
Курьер на велосипеде компании,486.0,,СамокатПроверенный работодатель,"['Отклик без резюме', 'Опыт не нужен', 'Полная занятость']",Котельники,https://russia.superjob.ru/vacancy/search/?page=1/vakansii/kurer-na-velosipede-kompanii-51110910.html
Продавец-консультант ТЦ Континент,81.5,,"Группа ""М. Видео-Эльдорадо""7.2","['Опыт не нужен', 'Полная занятость']",Санкт-Петербург,https://russia.superjob.ru/vacancy/search/?page=1/vakansii/prodavec-konsultant-tc-kontinent-51149849.html
Почтальон,231.0,,Почта РоссииПроверенный работодатель6.2,"['Опыт не нужен', 'Полная занятость']","Ленино (Астраханская об, Енотаевский р)",https://russia.superjob.ru/vacancy/search/?page=1/vakansii/pochtalon-51163358.html
Приемщик товара (м. Преображенская площадь),90.0,,"КуулКлевер (МясновЪ, Отдохни)6.3","['Опыт не нужен', 'Полная занятость']",Москва,https://russia.superjob.ru/vacancy/search/?page=1/vakansii/priemschik-tovara-50960640.html
Продавец в отдел фруктов и овощей,480.5,,АшанПроверенный работодатель7.1,"['Отклик без резюме', 'Опыт не нужен', 'Полная занятость']",Кострома,https://russia.superjob.ru/vacancy/search/?page=1/vakansii/prodavec-v-otdel-fruktov-i-ovoschej-51163348.html
Разнорабочий на производство,218.0,,ГК АКМЭ8.3,"['Отклик без резюме', 'Вахта', 'Опыт не нужен']",Великий Новгород,https://russia.superjob.ru/vacancy/search/?page=1/vakansii/raznorabochij-na-proizvodstvo-50413617.html
Менеджер по работе с клиентами,70.0,,«Почта Банк»6.8,"['Отклик без резюме', 'Опыт не нужен', 'Сменный график']",Хабаровск,https://russia.superjob.ru/vacancy/search/?page=1/vakansii/menedzher-po-rabote-s-klientami-50811654.html
Техник-механик,130.0,,АО ЦВ ПРОТЕКПроверенный работодатель,['Полная занятость'],Пушкино,https://russia.superjob.ru/vacancy/search/?page=1/vakansii/tehnik-mehanik-50905886.html
Ведущий инженер (ул. Московская),По договорённости,,Т Плюс7.1,"['Отклик без резюме', 'Опыт не нужен']",Екатеринбург,https://russia.superjob.ru/vacancy/search/?page=1/vakansii/veduschij-inzhener-51052557.html
Тракторист,45.0,,Социальный фонд России,['Полная занятость'],Тучково,https://russia.superjob.ru/vacancy/search/?page=1/vakansii/traktorist-50546345.html
Старший механик,55.5,,Башнефть-Розница7.3,"['Опыт не нужен', 'Полная занятость']",Оренбург,https://russia.superjob.ru/vacancy/search/?page=1/vakansii/starshij-mehanik-50999862.html
Водитель АТЗ (ДОПОГ),210.0,,Управление Механизации ИнжЭнерго СПб,['Вахта'],Новосибирск,https://russia.superjob.ru/vacancy/search/?page=1/vakansii/voditel-atz-50865631.html
Врач-эндоскопист,453.25,,Департамент занятости населения Ямало-Ненецкого автономного округа,,Тюмень,https://russia.superjob.ru/vacancy/search/?page=1/vakansii/vrach-endoskopist-51056962.html
Провизор / Фармацевт (м. Василеостровская),160.0,,Эвалар6.5,['Полная занятость'],Санкт-Петербург,https://russia.superjob.ru/vacancy/search/?page=1/vakansii/provizor-50854764.html
Администратор магазина (Кантемировская),85.0,,"Торговая сеть ""Монетка""",['Сменный график'],"Москва, Кантемировская улица",https://russia.superjob.ru/vacancy/search/?page=1/vakansii/administrator-magazina-50083399.html
Мастер-технолог цеха убоя производства по забою и глубокой переработке птицы,90.0,,Белгранкорм - Великий Новгород,"['Старт карьеры', 'Полная занятость']",Новое Рахино (Новгородская область),https://russia.superjob.ru/vacancy/search/?page=1/vakansii/master-tehnolog-ceha-uboya-proizvodstva-po-zaboyu-i-glubokoj-pererabotke-pticy-50595634.html
Оператор производственной линии,72.5,,ОКЗ,"['Опыт не нужен', 'Сменный график']",Орел,https://russia.superjob.ru/vacancy/search/?page=1/vakansii/operator-proizvodstvennoj-linii-50937654.html
Воспитатель,35.5,,ГУЗ Специализированный дом ребенка,"['Старт карьеры', 'Полная занятость']",Саратов,https://russia.superjob.ru/vacancy/search/?page=1/vakansii/vospitatel-28810052.html
Автоэлектрик-установщик ГЛОНАСС,110.0,GPS,МСС,['Полная занятость'],Москва,https://russia.superjob.ru/vacancy/search/?page=1/vakansii/avtoelektrik-ustanovschik-glonass-47522103.html
Специалист по продаже / Агент по продаже / Риелтор (покупка / продажа квартир),150.0,,ИНКОМ - НедвижимостьПроверенный работодатель7.7,"['Опыт не нужен', 'Полная занятость']","Москва, Профсоюзная улица, 93а, м. Беляево, м. Калужская, м. Коньково, м. Ясенево",https://russia.superjob.ru/vacancy/search/?page=1/vakansii/specialist-po-prodazhe-25670494.html
Электрик / Электромонтажник,96.5,,Азбука вкусаПроверенный работодатель7.4,"['Отклик без резюме', 'Сменный график']","Москва, Рябиновая улица, 47Б",https://russia.superjob.ru/vacancy/search/?page=1/vakansii/elektrik-35862454.html
Дежурный моторвагонного депо,72.0,,Российские железные дорогиПроверенный работодатель,['Сменный график'],Зеленодольск (Республика Татарстан),https://russia.superjob.ru/vacancy/search/?page=1/vakansii/dezhurnyj-motorvagonnogo-depo-50075612.html
Курьер,5.0,,Частный рекрутер Денис (Сервис партнер Яндекс),"['Опыт не нужен', 'Полная занятость']",Троицк,https://russia.superjob.ru/vacancy/search/?page=1/vakansii/kurer-50746009.html
Старший инженер по ремонту сельскохозяйственной техники,По договорённости,,ГК Русагро7.5,['Полная занятость'],Саратов,https://russia.superjob.ru/vacancy/search/?page=1/vakansii/starshij-inzhener-po-remontu-selskohozyajstvennoj-tehniki-50784169.html
Водитель самосвала,513.5,MERCEDESSHACMAN C,ГСП-1,,Абаза,https://russia.superjob.ru/vacancy/search/?page=1/vakansii/voditel-samosvala-51039423.html
Дежурный электромонтер (Северо-Запад),372.0,,Объединенная энергетическая компанияПроверенный работодатель,['Полная занятость'],"Москва, улица Василия Петушкова, 8с3",https://russia.superjob.ru/vacancy/search/?page=1/vakansii/dezhurnyj-elektromonter-51126864.html
Продавец-кассир,141.5,,Улыбка радуги6.9,"['Отклик без резюме', 'Опыт не нужен', 'Доступно студентам']",Козьмодемьянск,https://russia.superjob.ru/vacancy/search/?page=1/vakansii/prodavec-kassir-51126868.html
Шиномонтажник г. Сергиев Посад,145.0,,Европа сервис,['Сменный график'],Сергиев Посад,https://russia.superjob.ru/vacancy/search/?page=1/vakansii/shinomontazhnik-g-51167208.html
Пекарь,39.0,,ПятёрочкаПроверенный работодатель6.5,"['Опыт не нужен', 'Сменный график']",Волгоград,https://russia.superjob.ru/vacancy/search/?page=2/vakansii/pekar-49464426.html
Водитель КМУ,149.0,,ГСП-Механизация,['Вахта'],Хреновое (Воронежская область),https://russia.superjob.ru/vacancy/search/?page=2/vakansii/voditel-kmu-50215739.html
Курьер доставка,145.0,,СамокатПроверенный работодатель,"['Опыт не нужен', 'Частичная занятость', 'Совместительство']",Коломна,https://russia.superjob.ru/vacancy/search/?page=2/vakansii/kurer-dostavka-51142284.html
"Фармацевт / провизор (ул. Челюскина, д.6)",По договорённости,,Ригла7.6,['Опыт не нужен'],Санкт-Петербург,https://russia.superjob.ru/vacancy/search/?page=2/vakansii/farmacevt-51087623.html
Продавец-консультант (ТЦ МЕГА Белая Дача),80.0,BEAUTY,РИВ ГОШПроверенный работодатель7.7,"['Отклик без резюме', 'Опыт не нужен', 'Доступно студентам']",Выхино,https://russia.superjob.ru/vacancy/search/?page=2/vakansii/prodavec-konsultant-49486259.html
Продавец-консультант в отдел МясновЪ (м. Преображенская площадь),177.5,,"КуулКлевер (МясновЪ, Отдохни)6.3","['Опыт не нужен', 'Полная занятость']",Москва,https://russia.superjob.ru/vacancy/search/?page=2/vakansii/prodavec-konsultant-v-otdel-myasnov-50960623.html
Главный специалист-эксперт отдела по осуществлению закупок,126.0,,Социальный фонд России,['Полная занятость'],Нижний Новгород,https://russia.superjob.ru/vacancy/search/?page=2/vakansii/glavnyj-specialist-ekspert-otdela-po-osuschestvleniyu-zakupok-50667554.html
Электромонтер по ремонту и обслуживанию электрооборудования,37.0,,Башнефть-Розница7.3,['Полная занятость'],Абдулино,https://russia.superjob.ru/vacancy/search/?page=2/vakansii/elektromonter-po-remontu-i-obsluzhivaniyu-elektrooborudovaniya-50999921.html
Водитель вахтового автобуса,170.0,,Управление Механизации ИнжЭнерго СПб,['Вахта'],Якутск,https://russia.superjob.ru/vacancy/search/?page=2/vakansii/voditel-vahtovogo-avtobusa-50865634.html
Сканировщик торгового зала,323.0,,АшанПроверенный работодатель7.1,"['Отклик без резюме', 'Опыт не нужен']",Екатеринбург,https://russia.superjob.ru/vacancy/search/?page=2/vakansii/skanirovschik-torgovogo-zala-51081369.html
Учитель географии,97.0,,Департамент занятости населения Ямало-Ненецкого автономного округа,,Новый Уренгой,https://russia.superjob.ru/vacancy/search/?page=2/vakansii/uchitel-geografii-51056964.html
Монтажник радиоэлектронной аппаратуры и приборов,90.0,BGA BGA,Московский завод ФИЗПРИБОР,"['Старт карьеры', 'Полная занятость']",Подольск,https://russia.superjob.ru/vacancy/search/?page=2/vakansii/montazhnik-radioelektronnoj-apparatury-i-priborov-45587003.html
Менеджер по недвижимости (покупка / продажа квартир),150.0,,ИНКОМ - НедвижимостьПроверенный работодатель7.7,"['Опыт не нужен', 'Полная занятость']","Москва, Профсоюзная улица, 93а, м. Беляево, м. Калужская, м. Коньково, м. Ясенево",https://russia.superjob.ru/vacancy/search/?page=2/vakansii/menedzher-po-nedvizhimosti-25673810.html
Продавец-кассир,235.0,,Азбука вкусаПроверенный работодатель7.4,"['Опыт не нужен', 'Сменный график']","Москва, 1-й Хорошёвский проезд, 2/17",https://russia.superjob.ru/vacancy/search/?page=2/vakansii/prodavec-kassir-49950136.html
Медицинская сестра / Медицинский брат (отделение трансфузиологии),98.0,,"ФГБУ ""Национальный медицинский исследовательский центр травматологии и ортопедии им. Н. Н. Приорова"" Минздрава России8.4",['Полная занятость'],"Москва, улица Приорова, 10",https://russia.superjob.ru/vacancy/search/?page=2/vakansii/medicinskaya-sestra-50642390.html
Банковский специалист,45.0,,«Почта Банк»6.8,"['Отклик без резюме', 'Опыт не нужен', 'Полная занятость']",Арсеньев,https://russia.superjob.ru/vacancy/search/?page=2/vakansii/bankovskij-specialist-50811139.html
Слесарь по обслуживанию тепловых сетей,111.0,,Т Плюс7.1,"['Опыт не нужен', 'Полная занятость']",Пенза,https://russia.superjob.ru/vacancy/search/?page=2/vakansii/slesar-po-obsluzhivaniyu-teplovyh-setej-50854627.html
Кузовщик (м. Новочеркасская),180.0,,ГК РОЛЬФ7.8,,Санкт-Петербург,https://russia.superjob.ru/vacancy/search/?page=2/vakansii/kuzovschik-51056955.html
Менеджер по продажам металлопроката,127.5,,Металлоторг7.3,['Полная занятость'],Сочи,https://russia.superjob.ru/vacancy/search/?page=2/vakansii/menedzher-po-prodazham-metalloprokata-51013193.html
Специалист по работе с клиентами,60.5,,Почта РоссииПроверенный работодатель6.2,"['Отклик без резюме', 'Опыт не нужен', 'Доступно для соискателей от 45+ лет']","Москва, улица Черняховского, 6/40",https://russia.superjob.ru/vacancy/search/?page=2/vakansii/specialist-po-rabote-s-klientami-51077712.html
Курьер,87.5,,Центр найма персонала Яндекс,"['Опыт не нужен', 'Доступно для соискателей от 14+ лет', 'Доступно для соискателей от 45+ лет']","Москва, Домодедовская улица",https://russia.superjob.ru/vacancy/search/?page=2/vakansii/kurer-50676286.html
Охранник / Контролер торгового зала (ТЦ Перекресток),56.5,,Фамилия7.3,"['Опыт не нужен', 'Сменный график']",Нижний Новгород,https://russia.superjob.ru/vacancy/search/?page=2/vakansii/ohrannik-51035202.html
Су-шеф,По договорённости,,Сходня-Инжиниринг,,Химки,https://russia.superjob.ru/vacancy/search/?page=2/vakansii/su-shef-51077701.html
Главный специалист ценовой экспертизы,437.0,,Объединенная энергетическая компанияПроверенный работодатель,['Полная занятость'],"Москва, Раушская набережная, 8",https://russia.superjob.ru/vacancy/search/?page=2/vakansii/glavnyj-specialist-cenovoj-ekspertizy-51142237.html
Подсобный рабочий,328.3333333333333,,Инжиниринговый холдинг «эВ-групп»Проверенный работодатель,['Полная занятость'],Грязи,https://russia.superjob.ru/vacancy/search/?page=2/vakansii/podsobnyj-rabochij-51110905.html
Маляр по металлу 4 разряда,157.0,,"СПб ГУП ""Горэлектротранс""6.9",['Полная занятость'],Санкт-Петербург,https://russia.superjob.ru/vacancy/search/?page=2/vakansii/malyar-po-metallu-4-razryada-45190886.html
Старший инженер по метрологии,464.5,,Импульс,['Полная занятость'],"Москва, проспект Мира, 102с23",https://russia.superjob.ru/vacancy/search/?page=2/vakansii/starshij-inzhener-po-metrologii-50766288.html
Администратор сети,110.0,IT IT,Трансремком,"['Старт карьеры', 'Полная занятость']","Москва, Каланчёвская улица, 6с3",https://russia.superjob.ru/vacancy/search/?page=2/vakansii/administrator-seti-50106323.html
Инженер-механик (контролер по выпуску автомобилей на линию),434.0,,Молвест6.7,['Опыт не нужен'],Воронеж,https://russia.superjob.ru/vacancy/search/?page=2/vakansii/inzhener-mehanik-51092367.html
Мастер-приемщик Наро-Фоминск,140.0,,Европа сервис,"['Опыт не нужен', 'Старт карьеры', 'Сменный график']",Наро-Фоминск,https://russia.superjob.ru/vacancy/search/?page=2/vakansii/master-priemschik-naro-fominsk-51167184.html
Машинист лесозаготовительной машины,250.0,,"""ССК ""Газрегион""Проверенный работодатель7.9",['Вахта'],Омск,https://russia.superjob.ru/vacancy/search/?page=2/vakansii/mashinist-lesozagotovitelnoj-mashiny-49847598.html
Старший мастер по обслуживанию и ремонту газовых объектов,70.0,,УДМУРТЭНЕРГОНЕФТЬ,['Полная занятость'],Ижевск,https://russia.superjob.ru/vacancy/search/?page=2/vakansii/starshij-master-po-obsluzhivaniyu-i-remontu-gazovyh-obektov-50429781.html
Старший специалист по кадрам,81.0,,Мегастом - Академия Дентальной Имплантации,['Полная занятость'],Москва,https://russia.superjob.ru/vacancy/search/?page=2/vakansii/starshij-specialist-po-kadram-44881401.html
Разнорабочий / Сборщик,218.0,,ГК АКМЭ8.3,"['Отклик без резюме', 'Вахта', 'Опыт не нужен']",Москва,https://russia.superjob.ru/vacancy/search/?page=2/vakansii/raznorabochij-50195449.html
Оператор контакт-центра (без продаж),90.0,CALL,«Капитал Лайф Страхование Жизни»,['Полная занятость'],"Москва, Кадашёвская набережная, 30",https://russia.superjob.ru/vacancy/search/?page=2/vakansii/operator-kontakt-centra-50840347.html
Директор магазина,75.0,,Улыбка радуги6.9,"['Опыт не нужен', 'Полная занятость']",Янино-1,https://russia.superjob.ru/vacancy/search/?page=2/vakansii/direktor-magazina-50987958.html
Главный инженер проекта,95.0,,Энергоучёт,['Полная занятость'],Дмитров,https://russia.superjob.ru/vacancy/search/?page=2/vakansii/glavnyj-inzhener-proekta-50890280.html
Слесарь по ремонту автомобилей,75.0,,МОСТРАНСАВТО,['Опыт не нужен'],Электросталь,https://russia.superjob.ru/vacancy/search/?page=2/vakansii/slesar-po-remontu-avtomobilej-51073987.html
Трейдер,1.0,,Trade System,"['Удаленная работа', 'Доступно для соискателей с ограниченными возможностями', 'Доступно студентам']",Рузаевка,https://russia.superjob.ru/vacancy/search/?page=2/vakansii/trejder-50865620.html
Техник по обслуживанию оборудования водоподготовки,59.0,,Акватерм,['Полная занятость'],Рязань,https://russia.superjob.ru/vacancy/search/?page=2/vakansii/tehnik-po-obsluzhivaniyu-oborudovaniya-vodopodgotovki-35838575.html
"Сборщик заказов (Чебоксары, Солнечный, 20)",364.5,,ПятёрочкаПроверенный работодатель6.5,['Полная занятость'],Чебоксары,https://russia.superjob.ru/vacancy/search/?page=3/vakansii/sborschik-zakazov-50524503.html
Курьер,172.0,,СамокатПроверенный работодатель,"['Опыт не нужен', 'Частичная занятость', 'Совместительство']","Москва, Перовская улица, 8к1",https://russia.superjob.ru/vacancy/search/?page=3/vakansii/kurer-51098118.html
Машинист крана автомобильного,180.0,,Управление Механизации ИнжЭнерго СПб,['Вахта'],Санкт-Петербург,https://russia.superjob.ru/vacancy/search/?page=3/vakansii/mashinist-krana-avtomobilnogo-50865637.html
Врач-инфекционист,375.25,,Департамент занятости населения Ямало-Ненецкого автономного округа,,Краснодар,https://russia.superjob.ru/vacancy/search/?page=3/vakansii/vrach-infekcionist-51056960.html
Юрист ОСФР,40.0,,Социальный фонд России,"['Опыт не нужен', 'Полная занятость']",Омск,https://russia.superjob.ru/vacancy/search/?page=3/vakansii/yurist-osfr-50572587.html
Менеджер по продажам / Риелтор,150.0,,ИНКОМ - НедвижимостьПроверенный работодатель7.7,"['Опыт не нужен', 'Полная занятость']","Москва, Профсоюзная улица, 93А",https://russia.superjob.ru/vacancy/search/?page=3/vakansii/menedzher-po-prodazham-25675024.html
Рентгенлаборант,98.0,,"ФГБУ ""Национальный медицинский исследовательский центр травматологии и ортопедии им. Н. Н. Приорова"" Минздрава России8.4",['Сменный график'],"Москва, улица Приорова, 10",https://russia.superjob.ru/vacancy/search/?page=3/vakansii/rentgenlaborant-50642846.html
Банковский специалист,40.0,,«Почта Банк»6.8,"['Отклик без резюме', 'Опыт не нужен', 'Полная занятость']",Дальнегорск,https://russia.superjob.ru/vacancy/search/?page=3/vakansii/bankovskij-specialist-50815554.html
