title,money,knoladge,company,addition,city,link
Python разработчик (Middle),200,AIOHTTP STARLETTE FASTAPI FASTAPI PYTHON LINUX POSTGRESQL ASYNCPGSQLALCHEMY,Технопарк «Сколково»,['Удаленная работа'],Москва,https://russia.superjob.ru/vacancy/search/?keywords=python/vakansii/python-razrabotchik-43582144.html
Python-разработчик с функционалом data-аналитика,,PYTHON DJANGO,Friendwork,,Москва,https://russia.superjob.ru/vacancy/search/?keywords=python/vakansii/python-razrabotchik-s-funkcionalom-data-analitika-45166741.html
Разработчик Python,180,PYTHON DRF FASTAPI CELERY,Ботобот,['Удаленная работа'],Москва,https://russia.superjob.ru/vacancy/search/?keywords=python/vakansii/razrabotchik-python-41696139.html
Программист Python,,LINUX CENTOS OPENSUSE,"ФГБУ ""Научно-исследовательский центр космической гидрометеорологии ""Планета""",['Доступно студентам'],Москва,https://russia.superjob.ru/vacancy/search/?keywords=python/vakansii/programmist-python-44186748.html
"Педагог дополнительного образования (программирование scratch/python, робототехника lego)",18,,ТЕХНОШКОЛА,['Доступно студентам'],Домодедово,https://russia.superjob.ru/vacancy/search/?keywords=python/vakansii/pedagog-dopolnitelnogo-obrazovaniya-44818686.html
Преподаватель по направлению Программирование Python,25,,Иркутский колледж автомобильного транспорта и дорожного строительства,,Иркутск,https://russia.superjob.ru/vacancy/search/?keywords=python/vakansii/prepodavatel-po-napravleniyu-programmirovanie-python-44631086.html
Senior Python Developer (remote),,BB BC PYTHON DJANGO,Friendwork,['Удаленная работа'],Москва,https://russia.superjob.ru/vacancy/search/?keywords=python/vakansii/senior-python-developer-45166813.html
Lead Python Developer / Ведущий разработчик Python,,PYTHON FASTAPI,Технопарк «Сколково»,['Удаленная работа'],Москва,https://russia.superjob.ru/vacancy/search/?keywords=python/vakansii/lead-python-developer-44950901.html
Middle Python developer,,PYTHON BECKEND PYTHON,Технопарк «Сколково»,,Москва,https://russia.superjob.ru/vacancy/search/?keywords=python/vakansii/middle-python-developer-44735926.html
Специалист службы поддержки с техническими знаниями,15,JAVASCRIPT HTML PYTHON,Яндекс,"['Опыт не нужен', 'Удаленная работа', 'Доступно для соискателей с ограниченными возможностями']",Тольятти,https://russia.superjob.ru/vacancy/search/?keywords=python/vakansii/specialist-sluzhby-podderzhki-s-tehnicheskimi-znaniyami-45455028.html
Системный администратор Linux,,BASH PYTHON EXPECT ETC,Mriya Resort & SPA,,Ялта,https://russia.superjob.ru/vacancy/search/?keywords=python/vakansii/sistemnyj-administrator-linux-45280341.html
Менеджер по работе с клиентами,30,PYTHON,Ростелеком6.5,['Отклик без резюме'],Пермь,https://russia.superjob.ru/vacancy/search/?keywords=python/vakansii/menedzher-po-rabote-s-klientami-44458424.html
Data scientist,,PYTHON NPV DATA SCIENCE,СБЕР,['Будьте первым'],Нижний Новгород,https://russia.superjob.ru/vacancy/search/?keywords=python/vakansii/data-scientist-45573908.html
Преподаватель специальных дисциплин (09.02.06 Сетевое и системное администрирование),85,C C JS PHP PYTHON,МГОК,['Будьте первым'],Москва,https://russia.superjob.ru/vacancy/search/?keywords=python/vakansii/prepodavatel-specialnyh-disciplin-45583110.html
